company_id,ticker,avg_articles_per_day,avg_articles_per_week,avg_articles_per_month,median_articles_per_day_all,median_articles_per_day_nonzero,p25_articles_per_day,p75_articles_per_day,max_articles_per_day,days_with_zero_articles,pct_zero_days
119,MMM,0.109,0.76,3.311,0.0,1.0,0.0,0.0,10,3702,92.1
157,ABNB,3.427,23.95,104.326,2.0,3.0,1.0,4.0,95,686,17.1
4,AMZN,12.535,87.593,381.561,10.0,10.0,5.0,17.0,116,132,3.3
2,AAPL,0.144,1.007,4.386,0.0,1.0,0.0,0.0,6,3577,89.0
55,T,34.769,242.958,1058.341,30.0,31.0,20.0,44.0,539,59,1.5
23,BAC,1.985,13.871,60.424,1.0,2.0,0.0,3.0,36,1274,31.7
80,BA,11.732,81.983,357.121,7.0,7.0,3.0,15.0,429,198,4.9
88,ETN,0.001,0.009,0.038,0.0,1.0,0.0,0.0,1,4013,99.9
170,FDX,1.501,10.492,45.705,1.0,2.0,0.0,2.0,169,1997,49.7
160,GM,5.703,39.85,173.591,4.0,4.0,2.0,7.0,171,396,9.9
39,GS,4.175,29.174,127.083,3.0,4.0,1.0,6.0,52,610,15.2
60,INTC,5.489,38.358,167.091,4.0,4.0,2.0,7.0,139,441,11.0
44,MCD,6.682,46.694,203.402,4.0,5.0,2.0,8.0,490,346,8.6
3,MSFT,13.003,90.861,395.795,9.0,10.0,4.0,18.0,298,116,2.9
35,MS,13.561,94.76,412.78,11.0,11.0,7.0,17.0,196,29,0.7
206,NDAQ,0.011,0.075,0.326,0.0,1.0,0.0,0.0,2,3978,99.0
19,NFLX,11.606,81.101,353.28,4.0,16.0,0.0,19.0,143,1744,43.4
116,NKE,0.218,1.52,6.621,0.0,1.0,0.0,0.0,6,3320,82.6
15,ORCL,0.019,0.13,0.568,0.0,1.0,0.0,0.0,5,3953,98.4
86,PGR,0.043,0.297,1.295,0.0,1.0,0.0,0.0,3,3854,95.9
111,SBUX,4.966,34.704,151.174,3.0,3.0,1.0,6.0,98,634,15.8
9,TSLA,0.116,0.812,3.538,0.0,1.0,0.0,0.0,6,3628,90.3
57,UBER,9.152,63.955,278.591,5.0,6.0,2.0,11.0,206,471,11.7
14,V,19.236,134.417,585.53,15.0,15.0,8.0,23.0,314,84,2.1
12,WMT,9.506,66.428,289.364,7.0,7.0,3.0,12.0,182,228,5.7
33,WFC,2.184,15.259,66.47,1.0,2.0,0.0,2.0,163,1798,44.7
