company_id,company_symbol,company_name,stock_start,stock_end,trading_day_rows,window_calendar_days,approx_trading_days,gap_rate_pct
119,MMM,3M,2015-11-30,2025-11-24,2512,3648,2606,3.6
157,ABNB,Airbnb,2015-11-30,2025-11-24,2512,3648,2606,3.6
4,AMZN,Amazon,2015-11-30,2025-11-24,2512,3648,2606,3.6
2,AAPL,Apple Inc.,2015-11-30,2025-11-24,2512,3648,2606,3.6
55,T,AT&T,2015-11-30,2025-11-24,2512,3648,2606,3.6
23,BAC,Bank of America,2020-12-10,2025-11-24,1245,1811,1294,3.8
80,BA,Boeing,2015-11-30,2025-11-24,2512,3648,2606,3.6
88,ETN,Eaton Corporation,2015-11-30,2025-11-24,2512,3648,2606,3.6
170,FDX,FedEx,2021-04-15,2025-11-24,1160,1685,1204,3.7
160,GM,General Motors,2015-11-30,2025-11-24,2512,3648,2606,3.6
39,GS,Goldman Sachs,2015-11-30,2025-11-24,2512,3648,2606,3.6
60,INTC,Intel,2015-11-30,2025-11-24,2512,3648,2606,3.6
44,MCD,McDonald's,2015-11-30,2025-11-24,2512,3648,2606,3.6
3,MSFT,Microsoft,2015-11-30,2025-11-24,2512,3648,2606,3.6
35,MS,Morgan Stanley,2015-11-30,2025-11-24,2512,3648,2606,3.6
206,NDAQ,"Nasdaq, Inc.",2015-11-30,2025-11-24,2512,3648,2606,3.6
19,NFLX,Netflix,2015-11-30,2025-11-24,2512,3648,2606,3.6
116,NKE,"Nike, Inc.",2015-11-30,2025-11-24,2512,3648,2606,3.6
1,NVDA,Nvidia,2015-11-30,2025-11-24,2512,3648,2606,3.6
15,ORCL,Oracle Corporation,2015-11-30,2025-11-24,2512,3648,2606,3.6
78,PFE,Pfizer,2015-11-30,2025-11-24,2512,3648,2606,3.6
86,PGR,Progressive Corporation,2015-11-30,2025-11-24,2512,3648,2606,3.6
111,SBUX,Starbucks,2015-11-30,2025-11-24,2512,3648,2606,3.6
243,TGT,Target Corporation,2015-11-30,2025-11-24,2512,3648,2606,3.6
9,TSLA,"Tesla, Inc.",2015-11-30,2025-11-24,2512,3648,2606,3.6
57,UBER,Uber,2015-11-30,2025-11-24,2512,3648,2606,3.6
62,VZ,Verizon,2015-11-30,2025-11-24,2512,3648,2606,3.6
14,V,Visa Inc.,2015-11-30,2025-11-24,2512,3648,2606,3.6
12,WMT,Walmart,2015-11-30,2025-11-24,2512,3648,2606,3.6
33,WFC,Wells Fargo,2015-11-30,2025-11-24,2512,3648,2606,3.6
