company_id,ticker,article_date,n_articles,mean_stance,median_stance,weighted_mean_stance
157,ABNB,2015-01-04,3,-0.297267,-0.194685,-0.297267
157,ABNB,2015-01-05,1,-0.279547,-0.279547,-0.279547
157,ABNB,2015-01-06,1,-0.111217,-0.111217,-0.111217
157,ABNB,2015-01-07,1,-0.246382,-0.246382,-0.246382
157,ABNB,2015-01-08,1,0.316303,0.316303,0.316303
157,ABNB,2015-01-09,1,0.253075,0.253075,0.253075
157,ABNB,2015-01-11,1,-0.846662,-0.846662,-0.846662
157,ABNB,2015-01-12,3,-0.12256766666666667,-0.161293,-0.12256766666666667
157,ABNB,2015-01-15,2,-0.033650000000000006,-0.033650000000000006,-0.033650000000000006
157,ABNB,2015-01-16,1,-0.281105,-0.281105,-0.281105
157,ABNB,2015-01-17,1,0.031457,0.031457,0.031457
157,ABNB,2015-01-20,14,-0.4662192142857143,-0.6041909999999999,-0.4662192142857143
157,ABNB,2015-01-21,7,-0.34669028571428573,-0.136116,-0.34669028571428573
157,ABNB,2015-01-22,1,-0.117641,-0.117641,-0.117641
157,ABNB,2015-01-23,1,-0.434897,-0.434897,-0.434897
157,ABNB,2015-01-24,1,0.937001,0.937001,0.937001
157,ABNB,2015-01-25,1,0.001393,0.001393,0.001393
157,ABNB,2015-01-26,1,0.118677,0.118677,0.118677
157,ABNB,2015-01-27,1,-0.013851,-0.013851,-0.013851
157,ABNB,2015-01-28,1,0.008928,0.008928,0.008928
157,ABNB,2015-01-29,2,0.3834945,0.3834945,0.3834945
157,ABNB,2015-01-30,4,0.09321125000000001,0.0520545,0.09321125000000001
157,ABNB,2015-02-01,1,0.093255,0.093255,0.093255
157,ABNB,2015-02-02,1,-0.755128,-0.755128,-0.755128
157,ABNB,2015-02-03,3,0.30915533333333334,0.396837,0.30915533333333334
157,ABNB,2015-02-04,3,0.09121266666666666,0.035599,0.09121266666666666
157,ABNB,2015-02-06,2,-0.3224095,-0.3224095,-0.3224095
157,ABNB,2015-02-09,2,0.12646400000000002,0.12646400000000002,0.12646400000000002
157,ABNB,2015-02-10,4,0.15070575,0.1109005,0.15070575
157,ABNB,2015-02-11,1,-0.356709,-0.356709,-0.356709
157,ABNB,2015-02-12,1,-0.22866,-0.22866,-0.22866
157,ABNB,2015-02-13,4,-0.34964025,-0.379906,-0.34964025
157,ABNB,2015-02-15,1,0.051005,0.051005,0.051005
157,ABNB,2015-02-17,1,0.022705,0.022705,0.022705
157,ABNB,2015-02-18,1,-0.924453,-0.924453,-0.924453
157,ABNB,2015-02-19,4,-0.43915075,-0.41822,-0.43915075
157,ABNB,2015-02-20,1,-0.451537,-0.451537,-0.451537
157,ABNB,2015-02-21,1,-0.152585,-0.152585,-0.152585
157,ABNB,2015-02-22,1,-0.407159,-0.407159,-0.407159
157,ABNB,2015-02-24,2,-0.013674500000000003,-0.013674500000000003,-0.013674500000000003
157,ABNB,2015-02-25,6,0.10927516666666666,0.1176095,0.10927516666666666
157,ABNB,2015-02-26,3,0.3418676666666667,0.142802,0.3418676666666667
157,ABNB,2015-02-27,3,0.29465633333333335,0.214225,0.29465633333333335
157,ABNB,2015-02-28,1,0.89031,0.89031,0.89031
157,ABNB,2015-03-01,2,0.306774,0.306774,0.306774
157,ABNB,2015-03-02,2,0.1447215,0.1447215,0.1447215
157,ABNB,2015-03-03,1,-0.899319,-0.899319,-0.899319
157,ABNB,2015-03-04,1,-0.070712,-0.070712,-0.070712
157,ABNB,2015-03-05,4,-0.092612,-0.085493,-0.092612
157,ABNB,2015-03-06,1,0.377523,0.377523,0.377523
157,ABNB,2015-03-08,2,-0.380681,-0.380681,-0.380681
157,ABNB,2015-03-09,4,0.109547,-0.034211000000000005,0.109547
157,ABNB,2015-03-10,1,0.752756,0.752756,0.752756
157,ABNB,2015-03-11,1,-0.943472,-0.943472,-0.943472
157,ABNB,2015-03-12,2,-0.5362245,-0.5362245,-0.5362245
157,ABNB,2015-03-13,1,0.007324,0.007324,0.007324
157,ABNB,2015-03-16,1,0.109992,0.109992,0.109992
157,ABNB,2015-03-17,6,0.02807083333333334,0.010627000000000001,0.02807083333333334
157,ABNB,2015-03-18,1,-0.174111,-0.174111,-0.174111
157,ABNB,2015-03-19,2,-0.31819,-0.31819,-0.31819
157,ABNB,2015-03-20,5,0.1481318,0.188296,0.1481318
157,ABNB,2015-03-21,2,-0.0473085,-0.0473085,-0.0473085
157,ABNB,2015-03-23,1,-0.577933,-0.577933,-0.577933
157,ABNB,2015-03-24,2,-0.5866255,-0.5866255,-0.5866255
157,ABNB,2015-03-25,3,0.286049,0.69003,0.286049
157,ABNB,2015-03-26,3,0.034807,0.084137,0.034807
157,ABNB,2015-03-27,2,0.6168795,0.6168795,0.6168795
157,ABNB,2015-03-28,2,-0.35586700000000004,-0.35586700000000004,-0.35586700000000004
157,ABNB,2015-03-30,1,0.011912,0.011912,0.011912
157,ABNB,2015-03-31,2,0.3351385,0.3351385,0.3351385
157,ABNB,2015-04-01,5,0.2794082,0.215144,0.2794082
157,ABNB,2015-04-02,32,0.3164904375,0.310174,0.3164904375
157,ABNB,2015-04-03,5,0.1811052,0.135913,0.1811052
157,ABNB,2015-04-04,1,-0.006187,-0.006187,-0.006187
157,ABNB,2015-04-05,2,0.0263885,0.0263885,0.0263885
157,ABNB,2015-04-06,3,0.27012966666666666,0.077513,0.27012966666666666
157,ABNB,2015-04-07,5,0.042400799999999995,0.078807,0.042400799999999995
157,ABNB,2015-04-08,2,0.3146365,0.3146365,0.3146365
157,ABNB,2015-04-10,4,-0.183417,-0.15647850000000002,-0.183417
157,ABNB,2015-04-11,2,-0.4596345,-0.4596345,-0.4596345
157,ABNB,2015-04-12,2,-0.39788599999999996,-0.39788599999999996,-0.39788599999999996
157,ABNB,2015-04-13,1,-0.914285,-0.914285,-0.914285
157,ABNB,2015-04-14,3,0.060956,0.000898000000000003,0.060956
157,ABNB,2015-04-15,2,0.027843,0.027843,0.027843
157,ABNB,2015-04-16,1,0.926528,0.926528,0.926528
157,ABNB,2015-04-17,2,-0.007469000000000005,-0.007469000000000005,-0.007469000000000005
157,ABNB,2015-04-21,3,-0.09487333333333332,-0.046169,-0.09487333333333332
157,ABNB,2015-04-22,4,0.03814499999999999,-0.0071405,0.03814499999999999
157,ABNB,2015-04-23,5,0.0662544,0.003834,0.0662544
157,ABNB,2015-04-24,2,-0.0190735,-0.0190735,-0.0190735
157,ABNB,2015-04-25,1,0.644401,0.644401,0.644401
157,ABNB,2015-04-26,1,-0.010695,-0.010695,-0.010695
157,ABNB,2015-04-29,2,0.3696395,0.3696395,0.3696395
157,ABNB,2015-04-30,9,-0.3588281111111111,-0.661388,-0.3588281111111111
157,ABNB,2015-05-01,7,-0.3287397142857143,-0.332492,-0.3287397142857143
157,ABNB,2015-05-04,1,-0.927026,-0.927026,-0.927026
157,ABNB,2015-05-05,5,-0.1156978,0.0277,-0.1156978
157,ABNB,2015-05-06,2,-0.04193400000000003,-0.04193400000000003,-0.04193400000000003
157,ABNB,2015-05-07,3,-0.41799500000000006,-0.371381,-0.41799500000000006
157,ABNB,2015-05-08,2,-0.22918449999999999,-0.22918449999999999,-0.22918449999999999
157,ABNB,2015-05-09,1,0.025992,0.025992,0.025992
157,ABNB,2015-05-11,3,0.47955299999999995,0.540488,0.47955299999999995
157,ABNB,2015-05-12,3,-0.001891666666666671,-0.158284,-0.001891666666666671
157,ABNB,2015-05-13,15,-0.3212222,-0.362333,-0.3212222
157,ABNB,2015-05-14,1,-0.914005,-0.914005,-0.914005
157,ABNB,2015-05-15,3,-0.37969600000000003,-0.203651,-0.37969600000000003
157,ABNB,2015-05-16,1,-0.758028,-0.758028,-0.758028
157,ABNB,2015-05-17,3,0.369806,0.584099,0.369806
157,ABNB,2015-05-18,2,0.370665,0.370665,0.370665
157,ABNB,2015-05-19,1,0.008709,0.008709,0.008709
157,ABNB,2015-05-20,6,0.0035689999999999954,0.08974149999999999,0.0035689999999999954
157,ABNB,2015-05-21,3,-0.09186433333333333,-0.196239,-0.09186433333333333
157,ABNB,2015-05-23,2,-0.1051515,-0.1051515,-0.1051515
157,ABNB,2015-05-26,1,0.019498,0.019498,0.019498
157,ABNB,2015-05-27,5,0.20649579999999998,0.226564,0.20649579999999998
157,ABNB,2015-05-28,3,0.004618666666666667,-0.000310000000000001,0.004618666666666667
157,ABNB,2015-05-29,2,-0.12536599999999998,-0.12536599999999998,-0.12536599999999998
157,ABNB,2015-05-30,3,-0.39963,-0.310861,-0.39963
157,ABNB,2015-06-01,1,0.072415,0.072415,0.072415
157,ABNB,2015-06-02,3,-0.20449833333333334,-0.017846,-0.20449833333333334
