ticker,total_days,days_single_article,pct_single_article,out_of_range_days,big_swing_days,mean_daily_articles,median_daily_articles
ABNB,857,524,61.1,0,136,2.21,1
AMZN,2305,898,39.0,0,224,3.43,2
T,2848,835,29.3,0,59,4.71,3
BA,1860,819,44.0,0,126,2.88,2
BAC,736,510,69.3,0,75,1.95,1
GM,2011,819,40.7,0,178,4.02,2
GS,1587,860,54.2,0,190,2.19,1
INTC,1665,805,48.3,0,141,2.91,2
MCD,1079,589,54.6,0,119,2.62,1
MSFT,2649,829,31.3,0,239,4.27,2
MS,1606,924,57.5,0,177,2.03,1
NFLX,773,423,54.7,0,87,2.98,1
SBUX,974,532,54.6,0,145,2.91,1
UBER,1761,679,38.6,0,301,4.63,2
V,1747,927,53.1,0,143,2.29,1
WMT,1412,798,56.5,0,175,2.78,1
WFC,972,491,50.5,0,112,3.62,1
