ticker,n_articles,mean,std,skewness,kurtosis,min,p25,median,p75,max,pct_near_zero,pct_exactly_zero
ABNB,1896,-0.057,0.5843,-0.0812,-1.2687,-0.9884,-0.6255,0.0168,0.4342,0.9276,7.4,0.0
AMZN,7899,-0.0437,0.553,-0.0616,-1.0805,-0.9903,-0.5154,-0.0081,0.3993,0.955,10.4,0.0
T,13419,-0.0527,0.3796,-0.3774,0.1368,-0.9902,-0.2351,0.0008,0.1456,0.942,21.2,0.0
BA,5359,-0.1198,0.4573,0.031,-0.5651,-0.9891,-0.4692,-0.0456,0.1268,0.9534,17.3,0.0
BAC,1436,-0.0325,0.5238,-0.2587,-0.8885,-0.9892,-0.4266,0.0283,0.3589,0.9423,14.6,0.0
GM,8086,0.0072,0.522,-0.0821,-0.9415,-0.9915,-0.3801,0.011,0.442,0.95,10.6,0.0
GS,3479,-0.1441,0.5614,-0.0771,-1.14,-0.9923,-0.7136,-0.0048,0.2518,0.9536,12.5,0.0
INTC,4840,0.0425,0.5172,-0.3633,-0.7291,-0.9859,-0.2739,0.0796,0.4257,0.9616,13.0,0.0
MCD,2832,-0.1049,0.542,0.0657,-0.984,-0.9906,-0.5839,-0.0456,0.2533,0.95,12.7,0.0
MSFT,11320,0.0067,0.5749,-0.2209,-1.132,-0.9895,-0.509,0.0728,0.4815,0.9698,7.7,0.0
MS,3266,0.0146,0.5233,-0.3332,-0.7652,-0.9871,-0.3135,0.0551,0.3919,0.9556,12.9,0.0
NFLX,2300,-0.0546,0.5617,-0.042,-1.1002,-0.9842,-0.5393,-0.0146,0.3899,0.9337,10.7,0.0
SBUX,2833,-0.1253,0.5671,0.0815,-1.1378,-0.9891,-0.653,-0.0763,0.3077,0.9392,9.5,0.0
UBER,8162,-0.2993,0.6199,0.4578,-1.2043,-0.9926,-0.9078,-0.4543,0.2015,0.9615,5.9,0.0
V,4003,-0.0715,0.482,0.0319,-0.6542,-0.9858,-0.4294,-0.0238,0.2167,0.9596,15.5,0.0
WMT,3927,0.0048,0.5715,-0.0822,-1.1064,-0.9897,-0.4563,0.005,0.5015,0.9762,9.4,0.0
WFC,3515,-0.4617,0.5313,0.7749,-0.5468,-0.9925,-0.941,-0.6593,-0.0265,0.9476,9.2,0.0
