ticker,total_weeks_window,weeks_with_data,weeks_empty,pct_covered,mean_articles_per_week,median_articles_per_week
ABNB,574,394,180,68.6,4.8,3
AMZN,574,559,15,97.4,14.1,11
T,574,567,7,98.8,23.7,17
BA,574,547,27,95.3,9.8,7
BAC,574,409,165,71.3,3.5,2
GM,574,552,22,96.2,14.6,10
GS,574,543,31,94.6,6.4,5
INTC,574,533,41,92.9,9.1,6
MCD,574,458,116,79.8,6.2,3
MSFT,574,568,6,99.0,19.9,14
MS,574,548,26,95.5,6.0,4
NFLX,574,300,274,52.3,7.7,4
SBUX,574,419,155,73.0,6.8,3
UBER,574,512,62,89.2,15.9,8
V,574,540,34,94.1,7.4,5
WMT,574,504,70,87.8,7.8,5
WFC,574,407,167,70.9,8.6,4
