company_id,ticker,gap_start,gap_end,gap_weeks,gap_type
157,ABNB,2025-11-24,2025-12-01,2,A
55,T,2025-11-17,2025-12-29,7,B
23,BAC,2018-11-05,2018-11-05,1,A
23,BAC,2019-12-30,2019-12-30,1,A
39,GS,2022-05-02,2022-05-02,1,A
111,SBUX,2025-11-17,2025-12-29,7,B
57,UBER,2025-11-17,2025-12-29,7,B
14,V,2025-02-03,2025-02-10,2,A
14,V,2025-11-17,2025-12-29,7,B
12,WMT,2025-11-17,2025-12-29,7,B
33,WFC,2019-11-25,2019-11-25,1,A
33,WFC,2020-11-16,2020-11-16,1,A
33,WFC,2020-11-30,2020-11-30,1,A
33,WFC,2022-09-19,2022-09-19,1,A
33,WFC,2022-10-24,2022-10-24,1,A
33,WFC,2023-06-19,2023-06-19,1,A
33,WFC,2023-12-25,2023-12-25,1,A
33,WFC,2024-07-29,2024-07-29,1,A
33,WFC,2025-02-17,2025-02-17,1,A
33,WFC,2025-11-17,2025-12-29,7,B
