ticker,total_weeks,weeks_with_data,weeks_missing,pct_covered,gaps_type_a,gaps_type_b,gaps_type_c,longest_gap
ABNB,574,572,2,99.7,1,0,0,2
AMZN,574,574,0,100.0,0,0,0,0
T,574,567,7,98.8,0,1,0,7
BA,574,574,0,100.0,0,0,0,0
BAC,574,572,2,99.7,2,0,0,1
GM,574,574,0,100.0,0,0,0,0
GS,574,573,1,99.8,1,0,0,1
INTC,574,574,0,100.0,0,0,0,0
MCD,574,574,0,100.0,0,0,0,0
MSFT,574,574,0,100.0,0,0,0,0
MS,574,574,0,100.0,0,0,0,0
SBUX,574,567,7,98.8,0,1,0,7
UBER,574,567,7,98.8,0,1,0,7
V,574,565,9,98.4,1,1,0,7
WMT,574,567,7,98.8,0,1,0,7
WFC,574,558,16,97.2,9,1,0,7
