ticker,week_monday,gap_type,method,imputed_value
ABNB,2015-01-05,A,forward_fill,
ABNB,2015-03-09,A,forward_fill,0.407104
ABNB,2015-04-13,A,forward_fill,0.40444875
ABNB,2015-04-20,A,forward_fill,0.40444875
ABNB,2015-05-04,A,forward_fill,0.640029
ABNB,2015-07-06,A,forward_fill,0.22827
ABNB,2015-07-27,A,forward_fill,0.4031078333333333
ABNB,2015-08-03,A,forward_fill,0.4031078333333333
ABNB,2015-08-31,A,forward_fill,0.3324114999999999
ABNB,2015-09-14,A,forward_fill,-0.096556
ABNB,2015-09-21,A,forward_fill,-0.096556
ABNB,2015-12-21,B,linear_interpolation,-0.82829
ABNB,2015-12-28,B,linear_interpolation,-0.869225
ABNB,2016-01-04,B,linear_interpolation,-0.9101600000000001
ABNB,2016-01-25,A,forward_fill,0.30342025
ABNB,2016-02-29,A,forward_fill,-0.61872375
ABNB,2016-04-04,A,forward_fill,-0.1392555
ABNB,2016-08-15,A,forward_fill,0.1277210555555555
ABNB,2016-09-26,A,forward_fill,0.265465375
ABNB,2017-05-08,A,forward_fill,-0.0093095666666666
ABNB,2017-05-15,A,forward_fill,-0.0093095666666666
ABNB,2017-08-28,A,forward_fill,0.1535051666666666
ABNB,2017-09-04,A,forward_fill,0.1535051666666666
ABNB,2017-09-18,B,linear_interpolation,0.463939
ABNB,2017-09-25,B,linear_interpolation,0.258369
ABNB,2017-10-02,B,linear_interpolation,0.05279900000000004
ABNB,2017-10-16,A,forward_fill,-0.152771
ABNB,2017-11-20,A,forward_fill,-0.00142286875
ABNB,2018-01-22,A,forward_fill,-0.3042526666666666
ABNB,2018-04-16,A,forward_fill,-0.0670215
ABNB,2018-04-23,A,forward_fill,-0.0670215
ABNB,2018-05-07,A,forward_fill,-0.0738106666666666
ABNB,2018-07-09,A,forward_fill,0.4510294999999999
ABNB,2018-09-03,A,forward_fill,-0.906875
ABNB,2018-09-10,A,forward_fill,-0.906875
ABNB,2018-10-29,A,forward_fill,-0.419191
ABNB,2018-11-05,A,forward_fill,-0.419191
ABNB,2018-12-03,A,forward_fill,0.2291318333333333
ABNB,2018-12-24,A,forward_fill,-0.3194245
ABNB,2019-06-10,A,forward_fill,0.454451
ABNB,2019-06-17,A,forward_fill,0.454451
ABNB,2019-07-22,A,forward_fill,0.115725
ABNB,2019-09-09,A,forward_fill,0.231246
ABNB,2019-09-23,A,forward_fill,0.154174625
ABNB,2019-10-07,A,forward_fill,0.1089538333333333
ABNB,2019-11-25,A,forward_fill,-0.1231656111111111
ABNB,2020-01-20,A,forward_fill,0.877203
ABNB,2020-02-03,A,forward_fill,-0.2119254444444444
ABNB,2020-02-24,A,forward_fill,-0.38693
ABNB,2020-05-25,A,forward_fill,-0.046351
ABNB,2020-06-15,A,forward_fill,0.3494473666666666
ABNB,2020-07-06,A,forward_fill,0.05923
ABNB,2020-07-20,A,forward_fill,0.1114349166666666
ABNB,2020-08-03,A,forward_fill,-0.086596
ABNB,2020-12-28,A,forward_fill,-0.431715
ABNB,2021-01-18,B,linear_interpolation,-0.6441792500000001
