ticker,total_weeks_union,weeks_with_bias,weeks_with_returns,weeks_both,weeks_bias_only,weeks_returns_only,sufficient
ABNB,574,574,522,522,52,0,True
AMZN,574,574,522,522,52,0,True
T,574,574,522,522,52,0,True
BA,574,574,522,522,52,0,True
BAC,574,574,260,260,314,0,True
GM,574,574,522,522,52,0,True
GS,574,574,522,522,52,0,True
INTC,574,574,522,522,52,0,True
MCD,574,574,522,522,52,0,True
MSFT,574,574,522,522,52,0,True
MS,574,574,522,522,52,0,True
SBUX,574,574,522,522,52,0,True
UBER,574,574,522,522,52,0,True
V,574,574,522,522,52,0,True
WMT,574,574,522,522,52,0,True
WFC,574,574,522,522,52,0,True
