ticker,n_weeks,first_week,last_week,mean_return,std_return,min_return,max_return,n_extreme,n_short_weeks,pct_zero_return
ABNB,522,2015-11-30,2025-11-24,0.00265,0.03562,-0.1443,0.1399,0,1,0.2
AMZN,522,2015-11-30,2025-11-24,0.00235,0.0323,-0.1829,0.1138,1,1,0.4
T,522,2015-11-30,2025-11-24,0.00147,0.06861,-0.4093,0.3331,18,1,0.0
BA,522,2015-11-30,2025-11-24,-0.00046,0.03924,-0.2849,0.1939,4,1,0.0
BAC,260,2020-12-07,2025-11-24,-0.0009,0.06274,-0.1815,0.1896,5,2,0.0
GM,522,2015-11-30,2025-11-24,0.00503,0.05559,-0.2923,0.1868,6,1,0.2
GS,522,2015-11-30,2025-11-24,0.00298,0.03935,-0.2026,0.1322,2,1,0.2
INTC,522,2015-11-30,2025-11-24,0.00224,0.03584,-0.1571,0.1397,1,1,0.0
MCD,522,2015-11-30,2025-11-24,0.00251,0.04381,-0.2056,0.216,5,1,0.4
MSFT,522,2015-11-30,2025-11-24,0.00209,0.04499,-0.2197,0.194,6,1,0.2
MS,522,2015-11-30,2025-11-24,0.00335,0.04431,-0.2955,0.2533,6,1,0.0
SBUX,522,2015-11-30,2025-11-24,0.00264,0.04417,-0.1883,0.1934,3,1,0.0
UBER,522,2015-11-30,2025-11-24,0.0025,0.04123,-0.2416,0.2012,4,1,0.2
V,522,2015-11-30,2025-11-24,0.00154,0.05526,-0.2859,0.1954,6,1,0.0
WMT,522,2015-11-30,2025-11-24,0.00154,0.05526,-0.2859,0.1954,6,1,0.0
WFC,522,2015-11-30,2025-11-24,0.00012,0.04667,-0.2215,0.168,10,1,0.0
