ticker,variable,is_diff,adf_nc_p,adf_c_stat,adf_c_p,adf_c_lags,adf_ct_p,kpss_c_stat,kpss_c_p,kpss_ct_p,conclusion
ABNB,Bias Level,False,,-8.409098902979185,2.127696592138226e-13,3,2.1158730394545257e-12,0.5762043991305068,0.024799600079044835,0.015945711793127273,Conflicting (Structural Break Likely)
ABNB,Δ Bias (Diff),True,,-11.483475349671151,4.9297381565460486e-21,11,2.9363609811582516e-18,0.029212437732194372,0.1,0.1,Stationary (I(0))
ABNB,Return Level,False,,-23.44710916540325,0.0,0,0.0,0.09889112969548,0.1,0.1,Stationary (I(0))
ABNB,Δ Return (Diff),True,,-11.948247576687725,4.378362780840951e-22,10,4.8758215502890765e-19,0.13953684313409365,0.1,0.06397922191126199,Stationary (I(0))
AMZN,Bias Level,False,,-11.349955778686779,1.0051999541952514e-20,1,3.419668802284629e-18,0.5795814746788458,0.024492593211014015,0.01,Conflicting (Structural Break Likely)
AMZN,Δ Bias (Diff),True,,-12.105194465259727,1.9763667527558099e-22,9,2.712486024982555e-19,0.0622396601053381,0.1,0.1,Stationary (I(0))
AMZN,Return Level,False,,-9.917887729423835,3.045546831928001e-17,9,1.940486994652601e-15,0.12019494012890597,0.1,0.1,Stationary (I(0))
AMZN,Δ Return (Diff),True,,-11.70158110741384,1.5640636330026333e-21,12,1.2471046551918448e-18,0.5000000000000933,0.04166666666664567,0.01,Conflicting (Structural Break Likely)
T,Bias Level,False,,-6.771176391100452,2.6394893646943236e-09,4,9.971998913920931e-09,0.7970582295396098,0.01,0.03256483105177471,Conflicting (Structural Break Likely)
T,Δ Bias (Diff),True,,-9.800620528462229,6.00884713320755e-17,12,6.422476865372039e-15,0.12748731415775832,0.1,0.1,Stationary (I(0))
T,Return Level,False,,-14.468129535276557,6.674217768472533e-27,1,3.603840825530387e-22,0.4046881121183287,0.07513443443175487,0.1,Stationary (I(0))
T,Δ Return (Diff),True,,-12.38242145879764,4.9946075190709125e-23,8,1.0186521023218462e-19,0.09794562534658914,0.1,0.1,Stationary (I(0))
BA,Bias Level,False,,-6.692986808864618,4.065215976673912e-09,4,5.289514459511189e-08,0.3241851192156465,0.1,0.01,Stationary (I(0))
BA,Δ Bias (Diff),True,,-10.457956124201502,1.3828020377576513e-18,11,2.718220124904312e-16,0.0751620062079292,0.1,0.1,Stationary (I(0))
BA,Return Level,False,,-23.864667130212304,0.0,0,0.0,0.5109274490201979,0.03920552949995542,0.1,Conflicting (Structural Break Likely)
BA,Δ Return (Diff),True,,-11.067235965913424,4.648571154843154e-20,12,1.670609342457739e-17,0.06491738401052341,0.1,0.1,Stationary (I(0))
BAC,Bias Level,False,,-9.45852771847834,4.4176787385880657e-16,1,1.0095908284594811e-14,0.7190774146250994,0.01181114412499096,0.01,Conflicting (Structural Break Likely)
BAC,Δ Bias (Diff),True,,-9.08697742377706,3.916270010093854e-15,9,2.550355149697486e-13,0.22030020300020947,0.1,0.022028154288739513,Stationary (I(0))
BAC,Return Level,False,,-17.491165181137514,4.436100562076481e-30,0,0.0,0.03679680516034209,0.1,0.1,Stationary (I(0))
BAC,Δ Return (Diff),True,,-7.742911811702043,1.0502925645881232e-11,12,3.041127442045027e-10,0.19051799041426973,0.1,0.023281360541814476,Stationary (I(0))
GM,Bias Level,False,,-4.004107745460915,0.0013891539739305087,12,0.007196893850200834,0.3085000251283733,0.1,0.01,Stationary (I(0))
GM,Δ Bias (Diff),True,,-10.325020363641505,2.941169693551575e-18,12,5.011636473183646e-16,0.05562889253958869,0.1,0.1,Stationary (I(0))
GM,Return Level,False,,-24.425921210485043,0.0,0,0.0,0.06794226434495179,0.1,0.1,Stationary (I(0))
GM,Δ Return (Diff),True,,-11.707850771304642,1.5137475365200259e-21,12,1.2172421428907433e-18,0.04212874548769318,0.1,0.1,Stationary (I(0))
GS,Bias Level,False,,-3.8738853951821497,0.0022356670928305954,9,1.9318273503590984e-07,1.373954838374044,0.01,0.018350755112713592,Conflicting (Structural Break Likely)
GS,Δ Bias (Diff),True,,-11.00157381953976,6.661867096636553e-20,12,2.3147314028809113e-17,0.17966739933767878,0.1,0.0931301243484303,Stationary (I(0))
GS,Return Level,False,,-11.98432176806663,3.643022323020316e-22,5,3.7785997598587656e-19,0.0288292389632989,0.1,0.1,Stationary (I(0))
GS,Δ Return (Diff),True,,-12.591912587879886,1.8133934685368374e-23,10,5.0504135033389566e-20,0.09861188862949123,0.1,0.1,Stationary (I(0))
INTC,Bias Level,False,,-9.837327004728985,4.856201633784061e-17,2,1.0124670516440733e-15,0.48212566960480396,0.045692416755674786,0.04250677040079363,Conflicting (Structural Break Likely)
INTC,Δ Bias (Diff),True,,-12.827419075567986,5.972590919915581e-24,8,2.3834544334612805e-20,0.10017426405540748,0.1,0.1,Stationary (I(0))
INTC,Return Level,False,,-13.015280380792392,2.5185606761350748e-24,3,1.3393221959389629e-20,0.03970367396311049,0.1,0.1,Stationary (I(0))
INTC,Δ Return (Diff),True,,-11.02008786657145,6.018190816427568e-20,12,2.1457136677516887e-17,0.06336115678957434,0.1,0.1,Stationary (I(0))
MCD,Bias Level,False,,-21.993641393244733,0.0,0,0.0,0.8180831302154385,0.01,0.01,Conflicting (Structural Break Likely)
MCD,Δ Bias (Diff),True,,-11.350996182283787,9.996072998211617e-21,12,5.1837937013554204e-18,0.032503233496044524,0.1,0.1,Stationary (I(0))
MCD,Return Level,False,,-22.742486300132995,0.0,0,0.0,0.041277086460755785,0.1,0.1,Stationary (I(0))
MCD,Δ Return (Diff),True,,-11.17249771630997,2.6193361252981157e-20,12,1.1094144010540042e-17,0.059560378263365896,0.1,0.1,Stationary (I(0))
MSFT,Bias Level,False,,-3.1827161489690696,0.021007188758576847,10,1.7459354797988358e-11,2.0116193997226097,0.01,0.01,Conflicting (Structural Break Likely)
MSFT,Δ Bias (Diff),True,,-10.81287409075869,1.889109626453953e-19,11,5.063451394069417e-17,0.06435604888124276,0.1,0.1,Stationary (I(0))
MSFT,Return Level,False,,-23.939046267449147,0.0,0,0.0,0.26016533333506225,0.1,0.1,Stationary (I(0))
MSFT,Δ Return (Diff),True,,-10.769535100812671,2.4040063144719596e-19,12,6.473074808937552e-17,0.12750786044116455,0.1,0.1,Stationary (I(0))
MS,Bias Level,False,,-8.249448416031044,5.4407928664543e-13,3,7.17574936291178e-12,0.6084790356877935,0.021865542210200588,0.01,Conflicting (Structural Break Likely)
MS,Δ Bias (Diff),True,,-10.667933436616874,4.239707936365081e-19,12,1.0244166959287636e-16,0.05398215547339586,0.1,0.1,Stationary (I(0))
MS,Return Level,False,,-26.44915349588635,0.0,0,0.0,0.06593117081737458,0.1,0.1,Stationary (I(0))
MS,Δ Return (Diff),True,,-11.023290642207163,5.913397759045715e-20,12,2.120848554605851e-17,0.14448126590555857,0.1,0.05373568845709712,Stationary (I(0))
