ticker,bias_break_date,return_break_date,primary_break_date,pre_obs,post_obs,is_valid_split
ABNB,2023-02-27,2021-09-06,2023-02-27,378,144,True
AMZN,2018-10-22,2022-01-03,2018-10-22,151,371,True
T,2022-11-28,2021-09-27,2022-11-28,365,157,True
BA,2019-03-04,2022-01-03,2019-03-04,170,352,True
BAC,2022-05-02,2022-12-26,2022-05-02,73,187,True
GM,2020-01-13,2017-10-30,2020-01-13,215,307,True
GS,2024-01-15,2021-11-22,2024-01-15,424,98,True
INTC,2024-07-22,2023-03-20,2024-07-22,451,71,True
MCD,2020-06-29,2023-10-30,2020-06-29,239,283,True
MSFT,2022-05-30,2021-09-27,2022-05-30,339,183,True
MS,2017-07-03,2023-10-30,2017-07-03,83,439,True
SBUX,2022-02-07,2022-10-03,2022-02-07,323,199,True
UBER,2023-01-16,2024-04-01,2023-01-16,372,150,True
V,2024-06-10,2020-03-23,2024-06-10,445,77,True
WMT,2024-04-22,2020-03-23,2024-04-22,438,84,True
WFC,2024-10-07,2021-09-06,2024-10-07,462,60,True
