ticker,company_name,sector,bse_code,isin,index_weight_pct,source_verified,market_cap_usd,aliases,extra_terms
RELIANCE,Reliance Industries Ltd,Oil Gas & Consumable Fuels,500325,INE002A01018,9.27,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,RIL|Reliance Industries,Reliance Jio|Reliance Retail|JioCinema
HDFCBANK,HDFC Bank Ltd,Financial Services,500180,INE040A01034,6.80,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,HDFC Bank,
BHARTIARTL,Bharti Airtel Ltd,Telecommunication,532454,INE397D01024,5.91,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Airtel|Bharti Airtel,
SBIN,State Bank of India,Financial Services,500112,INE062A01020,5.52,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,SBI|State Bank of India,
ICICIBANK,ICICI Bank Ltd,Financial Services,532174,INE090A01021,4.97,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,ICICI Bank,
TCS,Tata Consultancy Services Ltd,Information Technology,532540,INE467B01029,4.76,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Tata Consultancy|Tata Consultancy Services,
BAJFINANCE,Bajaj Finance Ltd,Financial Services,500034,INE296A01024,2.99,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Bajaj Finance,
LT,Larsen & Toubro Ltd,Construction,500510,INE018A01030,2.72,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,L&T|Larsen and Toubro|Larsen & Toubro,
HINDUNILVR,Hindustan Unilever Ltd,Fast Moving Consumer Goods,500696,INE030A01027,2.71,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,HUL|Hindustan Unilever,
INFY,Infosys Ltd,Information Technology,500209,INE009A01021,2.70,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Infosys,
MARUTI,Maruti Suzuki India Ltd,Automobile and Auto Components,532500,INE585B01010,2.26,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Maruti Suzuki,
AXISBANK,Axis Bank Ltd,Financial Services,532215,INE238A01034,2.14,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Axis Bank,
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,524715,INE044A01036,2.14,NSE Indices Factsheet Dec-2025 + NSE Mar-2026,,Sun Pharma|Sun Pharmaceutical,
