id,title,pos_score,neutral_score,neg_score,company_id,company_name
3518753,"HBO Max, Amid Content Purge, Launches 30% Discount Offer",0.181174,0.724027,0.094799,55,AT&T
6846195,Former Uber driver tries to blame 2016 shooting rampage on 'devil' app that 'literally took over mind and body' in never-before-seen interrogation tapes,0.002858,0.016898,0.980244,57,Uber
6676612,Former Oklahoma Senator Pleads Guilty to Uber Driver Assault,0.002301,0.028481,0.969217,57,Uber
3154762,Boeing will lose $20 billion because of Trump's Iran decision,0.006649,0.154399,0.838952,55,AT&T
6740660,Former taxi commissioner sees more cities adopting New York's tough rules on Uber and Lyft,0.058622,0.387476,0.553902,57,Uber
8394842,22 Analysts Assess Visa: What You Need To Know,0.038363,0.88461,0.077027,14,Visa Inc.
510105,These Analysts Increase Their Forecasts On Walmart After Upbeat Earnings,0.325681,0.555513,0.118806,12,Walmart
6278636,Food delivery business Pronto is shutting down as Amazon and Uber muscle in,0.089865,0.507013,0.403122,57,Uber
6498088,"They dropped off a naked man on drugs at a Walmart because ‘it would be funny,’ police say",0.038071,0.821734,0.140196,12,Walmart
696616,21 Signs You Need A Vacation,0.064995,0.884326,0.050679,14,Visa Inc.
4366154,Microsoft confirms ‘S Mode’ will replace Windows 10 S,0.116738,0.864311,0.018951,3,Microsoft
6644265,"Former Employee Sues Uber, Says It’s Spying On Customers",0.002005,0.011464,0.986532,57,Uber
4761236,Microsoft contractors reportedly reviewed Cortana clips on insecure PCs,0.008151,0.354261,0.637588,3,Microsoft
1016992,21 Savageâ€™s Lawyers Gave A Major Update On The Rapperâ€™s Immigration Case,0.093863,0.870234,0.035902,14,Visa Inc.
457390,These are the 22 victims of the El Paso Walmart shooting,0.012551,0.866821,0.120628,12,Walmart
3516341,"HBO Max 'skews male' and has 'appointment viewing,' while Discovery+ 'skews female' and has 'comfort viewing'. This graphic shows how the services differ ahead of their merging next summer.",0.266465,0.663537,0.069998,55,AT&T
6192204,Ken Bone sells out for Uber,0.014571,0.64357,0.34186,57,Uber
3533220,"Boxing’s 30 most desired fights in 2023, from Tyson Fury vs. Oleksandr Usyk to Errol Spence Jr. vs. Terence Crawford",0.202264,0.764328,0.033408,55,AT&T
6513828,Letter: Elise Hance: Cut the fees for Uber cars using T.F. Green Airport,0.07087,0.61586,0.313269,57,Uber
6276101,Kendall Jenner snags free Lyft deal following Uber ban,0.005662,0.104542,0.889796,57,Uber
546209,"‘They be acting like it’s completely normal too’: Walmart worker puts customers who try to check out their groceries at electronics section on blast, sparking debate",0.143905,0.516891,0.339205,12,Walmart
3316405,HBO Max Eyes 50 Million Subscribers Within 5 Years,0.10018,0.877259,0.022561,55,AT&T
3403075,"HBO Max, Roku and Fire Stick/Fire TV Explained",0.012957,0.979034,0.008008,55,AT&T
8359470,What green card and visa holders need to know ahead of summer travel season,0.073772,0.860349,0.065879,14,Visa Inc.
3402752,HBO just launched another streaming service — here's how it's different,0.080133,0.844183,0.075684,55,AT&T
1010324,21 Savage Says ICE Trying to 'Intimidate' Him into Leaving U.S.,0.009864,0.730154,0.259982,14,Visa Inc.
8359668,20 Factors To Consider When Developing A Global Talent Strategy,0.210391,0.772401,0.017208,14,Visa Inc.
783334,22 celebrities who have left Los Angeles on where they moved and why they did it,0.048429,0.924062,0.027509,14,Visa Inc.
6195776,Former Taco Bell executive Benjamin Golden suing Uber driver Edward Caban but could still lose case,0.002854,0.063452,0.933694,57,Uber
2940949,HBO CEO criticizes Comcast for snubbing streaming service,0.026348,0.628637,0.345015,55,AT&T
8577634,2023 My Banking Direct Review,0.012072,0.98198,0.005948,14,Visa Inc.
4220891,Microsoft Cortana has made its picks for the NFL Conference Championship games,0.189844,0.796387,0.013769,3,Microsoft
7292766,The Vitamix One blender is almost half-off now at Walmart,0.036743,0.922824,0.040433,12,Walmart
8487329,'2021 Oscar-Nominated Short Films: Live Action' Review: A Cross-Section of Cinematic Activism,0.207931,0.764901,0.027168,14,Visa Inc.
8129507,"Whatever the Supreme Court decides on the law, Trump's Muslim ban is bad policy",0.013481,0.087596,0.898923,14,Visa Inc.
6354831,Former Uber Exec on Why He Left the Company to Go Into Politics,0.022807,0.278675,0.698517,57,Uber
4761313,"Microsoft contractors had woeful security when reviewing Cortana and Skype recordings, report claims",0.003458,0.043782,0.95276,3,Microsoft
962705,What Disclaimer? ~ USCIS Ignores Labor Department Warning That the Occupational Outlook Handbook Never Be Used for Legal Purposes,0.011442,0.129491,0.859067,14,Visa Inc.
6542207,Fortnite: Building and Testing a Custom Racetrack (by Uber Playz),0.049623,0.918449,0.031929,57,Uber
6752185,Kamala Harris' brother-in-law is the public face of Uber's fight with labor. It's awkward,0.010497,0.075867,0.913636,57,Uber
3298537,Boost Mobile founder says he'd buy unit back if the Sprint-T-Mobile tie-up gave him good wholesale deal,0.663779,0.296846,0.039375,55,AT&T
1053407,1600: From 'all in' to all over; another Trump pick flops,0.008984,0.130685,0.860331,14,Visa Inc.
6962682,Kia and Uber partner to give drivers in 20 European markets discounts to EVs,0.541123,0.422473,0.036403,57,Uber
6585811,"Leaked: Uber's Financials Show Huge Growth, Even Bigger Losses",0.230438,0.27238,0.497181,57,Uber
4482940,Microsoft confirms Edge is moving to Chromium,0.042,0.950187,0.007813,3,Microsoft
454940,This cozy weighted blanket is 20% off at Walmart,0.046961,0.876596,0.076443,12,Walmart
3509931,"Boston Celtics vs. Miami Heat Game 5 free live stream: How to watch NBA Eastern Conference Finals 2022, TV, odds",0.029094,0.957604,0.013303,55,AT&T
8394809,17 Expert Ways To Resolve Stakeholder Conflicts And Create Harmony,0.801794,0.137852,0.060354,14,Visa Inc.
4691626,"Microsoft could offer a guided tour of the Copilot app to help Windows 11 newbies, but I’m still waiting for the big changes to the AI assistant",0.605889,0.348997,0.045114,3,Microsoft
8397571,'We need some money': Rudy Giuliani accidentally butt-dialed an NBC reporter and was overheard talking about his connections to Bahrain and trashing Biden,0.006585,0.019908,0.973507,14,Visa Inc.
8391618,2022 AL Central season preview,0.01493,0.979948,0.005123,14,Visa Inc.
6210117,Lawsuit Against Uber by Alleged Kalamazoo Shooter Is Hoax,0.002488,0.048778,0.948734,57,Uber
8221789,We visited Trump's border Disneyland on spring break. It wasn't the happiest place on earth.,0.026553,0.949834,0.023613,14,Visa Inc.
3322098,Have Any Of These Actors Been In Any Marvel Movies Before?,0.014167,0.968947,0.016886,55,AT&T
1010524,21 Savage's Lawyers Say He's a Dreamer and Address If Rapper Was Targeted for Being Critical of ICE,0.180122,0.469139,0.350739,14,Visa Inc.
7056186,The Technology 202: Here's why Walmart wants a stake in the TikTok deal,0.129545,0.798272,0.072182,12,Walmart
6293560,Forget about hailing an Uber on your next visit to China,0.072635,0.660314,0.267051,57,Uber
6646533,Former ‘American Idol’ Host Brian Dunkleman Defends Uber Driver Gig,0.573207,0.256114,0.17068,57,Uber
3465752,"HBO Max to Launch in Latin America at $3-$6 Per Month With Live Sports, Theatrical Window for Warner Movies",0.228676,0.746893,0.024431,55,AT&T
6746216,Former Uber Engineer Could Face a Decade in Prison for Stealing Secrets from Google,0.003177,0.014824,0.981999,57,Uber
6348423,"Ford leads self-driving tech pack, outpacing Waymo, Tesla, Uber: study",0.231705,0.643694,0.1246,57,Uber
6904836,"Last-Minute Court Decision Lets Uber, Lyft Continue Operating In California As It Fights Labor Law",0.356284,0.39089,0.252826,57,Uber
6456483,Former S.A. Uber driver charged in sexual assault of drunken female passenger,0.001825,0.02374,0.974435,57,Uber
1017015,"21 Savage granted bond, will be released from ICE detention",0.037152,0.929739,0.033109,14,Visa Inc.
851124,20-year-old Mexican man in need of transplants denied US visa,0.018987,0.726467,0.254546,14,Visa Inc.
3043012,Boeing Could Deliver 737 MAX 10X in 2020 if Airlines Start Buying,0.180061,0.777677,0.042263,55,AT&T
3360884,"HBO Max is expanding to 15 more European countries soon, with others to follow",0.152331,0.834076,0.013593,55,AT&T
6311044,For $26: A ride to the Syracuse airport and a cabbie's thoughts on Uber (video),0.034554,0.918096,0.04735,57,Uber
3402929,HBO Go or HBO Max: What's the difference between the two?,0.013974,0.972843,0.013183,55,AT&T
3405587,HBO Max removes ‘Gone With the Wind’ to address its ‘racist depictions’,0.01566,0.365314,0.619026,55,AT&T
3495097,Boomerang Cartoon Streaming Service Is Being Shut Down by Warner Bros. Discovery,0.014913,0.717374,0.267713,55,AT&T
2893728,"Bowl projections: Texas, Notre Dame fall from College Football Playoff bracket",0.018071,0.956602,0.025327,55,AT&T
4004929,Microsoft Confused Over Safety Of AI,0.007019,0.03015,0.96283,3,Microsoft
7024957,Former Uber security chief guilty of data breach coverup,0.002274,0.024694,0.973032,57,Uber
7983068,We're now at the military-checkpoints stage of Trump's DC takeover,,,,14,Visa Inc.
3112737,Boston-Area Paramedics on Front Lines of U.S. Opioid Crisis,0.037035,0.95103,0.011935,55,AT&T
3405567,HBO Max Pulls 'Gone With the Wind' Over Racist Depictions,0.023809,0.369057,0.607134,55,AT&T
2919927,"Bowditch matches career best with opening 62 at Nelson, 7 better than hometown star Spieth",0.402997,0.517884,0.07912,55,AT&T
8605249,15 People Shared Their Biggest Travel Mistakes,0.045884,0.486311,0.467805,14,Visa Inc.
6357615,Former Lyft driver files class action lawsuit against Uber over its ‘Hell’ tracking program,0.001838,0.016432,0.981729,57,Uber
8574981,2024 MLB Livestream: Where to Watch Major League Baseball Games Online for Free,0.069329,0.908672,0.021998,14,Visa Inc.
6746251,Former Star Google and Uber Engineer Charged With Theft of Trade Secrets,0.001609,0.013593,0.984798,57,Uber
8188678,1 family’s struggle to keep up with migrant caravan,,,,14,Visa Inc.
6974252,Flying Taxi Company Joby Aviation Goes Public While Touting Itself as 'Uber of the Air',0.607243,0.248658,0.144099,57,Uber
3412267,HBO Max to launch with pre-order discount,0.207045,0.760086,0.03287,55,AT&T
6153634,"LAX agrees to allow Uber, other pickup services to shuttle passengers",0.320328,0.613151,0.066521,57,Uber
911046,West Virginia GOP candidate Don Blankenship releases ad attacking Mitch McConnell's 'China family',0.015196,0.498403,0.4864,14,Visa Inc.
8314418,What do Rays fans think of the Wander Franco verdict? We asked,0.011889,0.982016,0.006095,14,Visa Inc.
6722688,Forget Tanning Beds. College Students Today Want Uber Parking.,,,,57,Uber
6348974,"Kara Swisher: Dear Tech Bros, it’s not a PR problem at Uber (or Yahoo or any of it)",0.040262,0.281771,0.677967,57,Uber
2909178,Boerne’s Jimmy Walker prevails in Valero Texas Open,0.058441,0.928147,0.013412,55,AT&T
4775611,"Microsoft, Coke stock rallies would add about 50 points to the Dow's price",0.763917,0.190472,0.045611,3,Microsoft
6400564,Laguna still working out details with Uber for rides for seniors,0.117756,0.82673,0.055514,57,Uber
3247425,Bold Free-Agent Predictions for Every NFL Team,0.164506,0.808867,0.026628,55,AT&T
8613311,"21 Savage Announces 'American Dream,' First Studio Album in Nearly Six Years",0.389455,0.586194,0.024351,14,Visa Inc.
266897,These 10 retailers have a smaller market cap than the $28 billion Walmart gained in one morning,0.118773,0.522385,0.358842,12,Walmart
526995,This foldable treadmill is transforming home workouts for less than $200 at Walmart,0.528271,0.414746,0.056983,12,Walmart
4043878,Microsoft created a Halo 5 HoloLens demo for E3 guests,0.27572,0.701973,0.022307,3,Microsoft
8468678,What consumers learned about travel complaints in 2020,0.024295,0.955297,0.020409,14,Visa Inc.
4476591,Microsoft could release a disc-less Xbox One,0.145746,0.710384,0.14387,3,Microsoft
