id,title,company_name,label
4646679,Microsoft beats Amazon for Pentagon's $10 bln cloud computing contract,Microsoft,relevant
3489239,House Votes to Expand Legal Safeguards for LGBTQ People,AT&T,irrelevant
2961496,Frequent NSA collaborator AT&T is backing Apple in its fight against the FBI,AT&T,relevant
7932040,Intel officials warned well before Tower 22 attack of increased risks from drones,Intel,irrelevant
4467588,Microsoft brings 'Known Folder Migration' feature to OneDrive consumer users,Microsoft,irrelevant
123333,Walmart To Ban Woman Caught On Viral Racist Rant Video,Walmart,irrelevant
381997,Why did it take us messaging?': Louisiana woman books Airbnb in France. Then she learns what the owner did with the property,Airbnb,irrelevant
7109758,Halloween pet costumes at Walmart,Walmart,irrelevant
6483519,Uber driver charged with raping unconscious 17-year-old in Orange County,Uber,irrelevant
250473,Airbnb asked to disclose data on 172 users so far this year,Airbnb,irrelevant
3295123,"Fore! Here Comes Tony Romo, The Golfer, Again.",AT&T,irrelevant
7908289,NY Post scorches ‘fake’ intel letter used to sink laptop story: ‘Actual disinfo operation’ helped Biden,Intel,irrelevant
4190801,Microsoft is allegedly creating a Slack competitor,Microsoft,irrelevant
1004237,13 ways to give the gift of Mackinac Island,Visa Inc.,irrelevant
1708661,Starbucks Just Revealed The Ideal Drink For Each Zodiac Sign,Starbucks,irrelevant
7087340,"Bank of America, M and others disclose gap between CEO and employee pay",Bank of America,irrelevant
236428,"How Goldman Sachs, UBS, and more reacted to Walmart's $10 billion 'Black Swan' deal to sell Asda",Walmart,relevant
44709,"Sean Hannity: If Walmart stops selling Confederate flags, they should stop selling rap music too",Walmart,irrelevant
4297741,Apple takes another step into Microsoft's core territory with Accenture deal,Microsoft,irrelevant
782429,Harvey Weinstein Taps Trump’s Travel Ban for New ‘Lion’ Oscar Messaging,Visa Inc.,irrelevant
7366870,here's everything I'd buy at Walmart's Black Friday sale,Walmart,irrelevant
4813282,Microsoft just introduced an ambitious subscription plan that makes the Xbox the best deal in gaming,Microsoft,relevant
7935361,Intel’s Stock Stock Rallied 91% This Year. Here’s What Drives It Higher in 2024.,Intel,irrelevant
426333,Shooting at Walmart in El Paso: multiple fatalities,Walmart,irrelevant
7047614,‘This is why I don’t like Goodwill’: Shopper finds Walmart clearance sweater tagged at $3. Then she sees how much Goodwill is selling it for,Walmart,irrelevant
5207105,GM Strike after a week: Sales hold up while parts shortages loom,General Motors,relevant
8424613,How grocery stores restock shelves in the age of coronavirus,Visa Inc.,irrelevant
6672902,"Uber, Private Ride Drivers to Sue Mayor of London for Discrimination",Uber,irrelevant
10490726,We talked to the execs behind Bloomberg's new data partnership with Goldman Sachs. Here's why they think it's a sign of Wall Street's future.,Goldman Sachs,relevant
3108760,Verizon accused of violating net neutrality rules by throttling video,AT&T,irrelevant
2566740,"EMMY® Winner Rushion McDonald Celebrates Five Years of Money Making Conversations Master Class, With Special Broadcast on September 27th",McDonald's,irrelevant
8363082,NYC becomes latest city to cut back on ties with Wells Fargo,Wells Fargo,relevant
3411762,Galaxy Z Flip 5G now up for preorder if you’d rather not wait for the Note 20,AT&T,irrelevant
1017168,Activists: 1st Amendment Rights Of Undocumented Immigrants Are Often Violated,Visa Inc.,irrelevant
