,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
AAPL,87354,90939,80603,76214,89942,7360,113,13317,62,6373,70469,522746
ABNB,5668,7808,8239,7059,7977,7572,5904,5788,5934,4657,4961,71567
AMZN,44483,53284,76172,45793,7,11,23,10,22,70,30781,250656
BA,13515,12519,15510,4411,0,5,0,1,0,0,4069,50030
BAC,12845,13603,11493,9620,10959,8604,5334,5400,4856,4229,4825,91768
ETN,4874,7640,6769,7928,8226,3298,2587,2148,2777,2093,9365,57705
FDX,7411,6232,6242,7580,6445,6526,5114,4349,4310,2913,3240,60362
GM,6198,7395,8040,5944,7804,7907,6065,5178,6905,3992,3791,69219
GS,10630,19449,16273,9959,9318,10336,6137,5684,6081,4545,6354,104766
INTC,11610,9361,23998,13142,14509,11485,8711,7956,7784,7270,9067,124893
MCD,9217,6475,7261,7339,5542,3067,4018,4177,3724,4551,3680,59051
MMM,2969,2796,3082,2690,3468,5204,2857,9502,12675,4548,5597,55388
MS,8057,7433,6811,6118,6347,6863,4642,3873,4373,3872,3957,62346
MSFT,30584,22474,18295,15394,23496,19324,28,5042,10,2746,18221,155614
NDAQ,12725,15441,20877,19280,22344,42721,54798,27030,21055,19280,23537,279088
NFLX,22415,27182,38501,39820,60924,377,57,16052,17,4510,42724,252579
NKE,12734,14654,14324,14475,16881,13073,9540,9411,9348,7694,7737,129871
NVDA,1645,1778,2860,3206,2615,2850,2697,3433,6464,11564,15389,54501
ORCL,7395,9303,8617,7720,8561,4776,4360,3888,3979,3176,4834,66609
PFE,1779,1899,1277,1315,1074,19305,47064,10593,4296,1935,2179,92716
PGR,48511,61879,60086,52801,77780,73020,47933,39070,36701,34621,30287,562689
SBUX,17857,15410,15599,15856,15975,10962,7307,10440,6991,7217,7236,130850
T,13147,14834,19944,17692,15205,11021,11438,10468,10047,11166,8309,143271
TGT,84586,87928,25442,1,5,54,33,12,16,26,38708,236811
TSLA,6707,10761,13443,14887,13565,8591,663,5280,9,3951,24805,102662
UBER,17435,24186,46711,29366,37290,18306,13155,10106,10725,9265,8582,225127
V,25640,23106,42441,29443,23593,14899,13738,12736,9884,8553,21516,225549
VZ,12851,14418,13545,7425,5634,4454,2938,2529,2662,3073,2473,72002
WFC,10432,18925,13150,11002,7900,5874,3851,4719,4786,6007,5372,92018
WMT,19725,16470,27136,41779,55641,36117,20039,21923,17788,20110,27407,304135
Total,570999,625582,652741,525259,559027,363962,291144,260115,204281,204007,449472,4706589
