,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
T,12673,14305,19284,17179,14717,10715,11301,10313,9937,11063,8214,139701
V,7150,6357,12538,7912,7079,6136,5932,6319,4299,3950,9621,77293
NFLX,3836,4762,7660,8114,11651,70,6,2363,1,847,7323,46633
WMT,1967,1895,3123,4113,5223,3821,2454,3143,2767,3645,6045,38196
AMZN,5225,6369,11666,8074,1,1,5,1,3,10,6206,37561
UBER,4649,5386,8792,4265,4777,2468,1625,1446,1271,1104,991,36774
MSFT,5051,3901,3530,2943,4233,3184,4,908,1,498,3837,28090
SBUX,2372,1919,2026,2403,2022,1376,1108,2323,1444,1342,1620,19955
INTC,1317,1128,2418,1537,1559,1529,1204,1131,1122,923,1191,15059
GM,1410,1446,1332,1110,2143,1638,1438,1211,1480,868,819,14895
MCD,2066,1464,1491,1213,1290,840,971,1240,807,1112,846,13340
NVDA,293,294,660,504,424,584,561,712,1610,3163,3909,12714
ABNB,1041,1647,1448,1082,1418,1416,882,1079,1114,692,677,12496
PFE,354,419,171,288,186,2806,4279,1534,731,277,421,11466
GS,932,1455,1116,950,962,1163,919,854,953,847,976,11127
WFC,767,1921,1642,1160,707,600,501,511,424,277,264,8774
BA,2508,2169,2550,721,0,3,0,1,0,0,711,8663
VZ,1110,1398,1025,582,570,469,398,387,427,388,321,7075
BAC,786,570,622,656,648,727,721,699,598,447,511,6985
MS,649,647,739,546,555,840,688,509,605,369,501,6648
FDX,541,361,379,503,589,545,655,588,448,368,377,5354
MMM,313,277,327,349,469,629,398,374,455,282,288,4161
NKE,51,113,122,115,75,63,65,49,68,97,58,876
AAPL,226,128,68,45,45,4,0,0,0,0,46,562
TSLA,34,50,84,61,70,83,0,0,0,12,73,467
PGR,15,13,13,7,11,12,13,11,21,30,25,171
ORCL,5,13,18,6,3,3,1,4,7,3,12,75
ETN,3,3,5,1,1,1,3,3,10,7,7,44
NDAQ,1,1,2,2,1,3,4,5,11,8,5,43
TGT,6,10,11,0,0,0,0,0,0,0,4,31
Total,57351,60421,84862,66441,61429,41729,36136,37718,30614,32629,55899,565229
