,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
BEL,36038,60668,43845,38465,26104,40104,40361,31135,44576,46129,29279,436704
ITC,20268,25264,11412,8319,7203,10546,10987,7958,12260,14943,8420,137580
RELIANCE,2652,4773,5670,3561,3451,5851,4246,3104,3946,4449,2933,44636
TRENT,1146,1503,1348,1375,1242,2688,2472,1849,2788,3410,2371,22192
TITAN,1002,1344,1568,1447,1140,1381,1162,1048,2528,2117,1203,15940
WIPRO,1193,1696,1605,1190,1057,1662,1290,1118,1476,1718,935,14940
MARUTI,538,837,765,676,614,929,686,683,741,753,500,7722
INDIGO,434,456,640,876,597,635,469,407,953,1019,585,7071
CIPLA,436,533,411,427,365,848,489,280,530,454,194,4967
TCS,135,315,251,286,189,206,192,98,148,176,175,2171
HINDALCO,222,162,177,159,114,212,132,137,207,292,161,1975
GRASIM,63,160,129,85,85,86,139,74,161,180,79,1241
ZOMATO,15,13,12,24,31,42,155,170,174,307,151,1094
ONGC,57,59,119,156,29,40,27,25,41,67,44,664
INFY,44,49,67,177,90,29,32,26,59,12,73,658
NTPC,0,14,6,13,17,29,58,40,53,198,85,513
TECHM,16,16,22,32,33,26,34,34,59,11,12,295
POWERGRID,15,21,15,12,24,43,68,20,35,28,12,293
COALINDIA,7,9,11,22,20,27,37,24,25,12,4,198
SBIN,6,6,6,3,10,56,93,8,2,3,0,193
TATAMOTORS,2,8,23,18,24,28,29,13,5,6,2,158
HCLTECH,0,1,2,1,13,8,9,21,32,47,17,151
HEROMOTOCO,1,2,7,14,15,32,29,15,8,11,2,136
TATASTEEL,1,6,0,20,17,29,27,17,9,7,1,134
ADANIENT,4,1,0,2,2,14,28,15,30,24,5,125
BAJFINANCE,1,1,4,20,15,23,24,6,10,10,1,115
EICHERMOT,0,0,0,9,13,35,23,10,6,11,1,108
AXISBANK,0,1,1,12,14,21,18,22,9,6,0,104
BAJAJ-AUTO,2,2,1,10,12,22,21,11,8,10,3,102
ICICIBANK,0,3,2,8,16,18,24,13,5,10,1,100
BAJAJFINSV,1,0,0,14,7,16,20,6,7,10,2,83
SUNPHARMA,1,1,3,19,16,12,13,4,8,3,2,82
JSWSTEEL,0,1,0,4,12,16,14,18,12,3,1,81
HDFCBANK,0,1,0,1,10,13,13,19,7,9,2,75
BHARTIARTL,0,2,5,5,10,14,18,6,10,2,2,74
DRREDDY,0,0,1,17,11,15,11,7,3,5,0,70
TATACONSUM,0,0,0,0,0,22,12,13,9,6,0,62
ULTRACEMCO,0,1,1,1,3,11,11,4,15,5,1,53
NESTLEIND,0,1,0,1,3,11,14,9,8,4,1,52
ASIANPAINT,0,2,1,2,1,13,11,5,8,3,1,47
SBILIFE,0,0,0,0,3,7,9,13,6,3,0,41
KOTAKBANK,0,1,2,1,4,13,9,4,2,0,1,37
MAXHEALTH,0,2,0,0,0,2,6,5,6,3,0,24
SHRIRAMFIN,0,0,0,0,0,0,0,6,11,5,1,23
JIOFIN,0,0,0,0,0,0,0,0,1,8,3,12
HINDUNILVR,0,0,0,0,0,0,0,0,1,0,0,1
Total,64300,97935,68132,57484,42636,65835,63522,48500,70998,76489,47266,703097
