,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
BEL,537316,879541,727731,632583,425206,374259,346385,285896,498136,439173,281898,5428124
ITC,260256,386650,497289,369817,276003,351510,194020,125246,141774,136592,70352,2809509
RELIANCE,41067,53975,55866,45492,38684,41776,27646,29090,25642,29316,17263,405817
TRENT,17999,23849,23598,24405,14093,15896,14917,11153,17934,21069,11955,196868
WIPRO,16956,19631,21567,15563,12034,13281,10521,11407,10176,10459,6004,147599
TITAN,19780,18208,13955,12775,8722,10287,7841,8192,13654,10804,6021,130239
INDIGO,6766,12511,12862,12763,6852,4206,3595,3711,5241,5826,3327,77660
CIPLA,6195,10725,7127,4136,5055,8674,5998,2777,3494,3133,1741,59055
ONGC,3785,6181,5038,6312,3372,3622,3161,2676,2405,2349,1540,40441
MARUTI,2613,4301,3562,2494,2245,2189,1519,1630,1760,1978,1264,25555
TCS,1560,3039,2646,1851,1396,1735,1389,1108,1489,1980,1209,19402
COALINDIA,1822,2560,2390,1782,1241,1222,1284,1086,846,721,373,15327
INFY,2178,2329,3551,1587,937,1167,780,691,701,741,503,15165
HINDALCO,2437,1587,1337,1735,1039,1099,768,927,1074,1014,616,13633
SUNPHARMA,1113,1239,813,776,682,926,836,816,807,620,272,8900
GRASIM,515,993,1062,809,796,432,497,804,755,971,489,8123
TATAMOTORS,825,1729,1230,1008,752,631,430,329,355,463,342,8094
TATASTEEL,585,2110,1104,960,536,379,294,279,284,322,181,7034
ADANIENT,246,666,325,282,227,346,381,808,2102,1005,451,6839
BHARTIARTL,900,1106,1098,668,483,500,355,214,396,676,428,6824
AXISBANK,308,808,596,584,199,319,200,179,399,670,228,4490
POWERGRID,597,647,537,410,262,269,441,263,268,307,140,4141
TECHM,661,460,500,407,367,415,417,232,279,204,103,4045
BAJFINANCE,82,148,355,487,372,269,198,73,651,605,388,3628
BAJAJ-AUTO,296,449,435,399,273,324,237,169,273,423,223,3501
ZOMATO,86,62,94,72,73,101,446,946,404,458,220,2962
KOTAKBANK,228,362,416,342,199,187,198,96,310,366,163,2867
HEROMOTOCO,252,601,333,304,190,153,147,137,153,109,78,2457
ULTRACEMCO,112,379,221,416,118,150,157,152,176,190,115,2186
EICHERMOT,232,406,155,302,145,121,99,72,147,120,97,1896
NESTLEIND,653,320,144,89,59,82,77,77,105,141,67,1814
ASIANPAINT,137,166,213,118,100,156,105,110,138,109,71,1423
SBIN,117,118,78,86,94,119,137,29,59,34,10,881
TATACONSUM,0,0,0,0,23,145,91,145,188,190,87,869
NTPC,3,59,53,27,37,50,91,61,57,222,96,756
SHRIRAMFIN,0,0,0,0,0,0,9,27,263,342,72,713
BAJAJFINSV,30,56,28,59,34,52,61,46,97,98,78,639
DRREDDY,128,87,22,47,33,111,36,24,21,27,30,566
MAXHEALTH,14,12,15,15,7,18,44,56,136,176,21,514
ICICIBANK,11,83,51,66,62,41,41,21,13,26,8,423
HDFCBANK,12,29,51,72,39,39,33,27,39,44,21,406
HCLTECH,4,13,14,12,28,16,16,41,60,72,29,305
JIOFIN,0,0,0,0,0,0,0,3,46,140,97,286
HINDUNILVR,16,40,25,32,10,8,14,18,18,22,4,207
JSWSTEEL,0,21,6,15,28,23,17,22,23,15,8,178
SBILIFE,0,0,1,0,5,14,18,14,9,7,2,70
HDFCLIFE,0,0,0,0,0,0,0,0,2,0,0,2
ADANIPORTS,0,0,0,0,0,0,0,0,0,2,0,2
Total,928893,1438256,1388494,1142159,803112,837319,625947,491880,733359,674331,408685,9472435
