,2015,2016,Total
BEL,346383,27500,373883
ITC,151218,13850,165068
RELIANCE,9611,4973,14584
TITAN,8724,1163,9887
TRENT,7785,711,8496
WIPRO,3490,1619,5109
ONGC,2634,311,2945
INDIGO,1939,438,2377
CIPLA,1468,378,1846
MARUTI,676,265,941
TCS,582,182,764
COALINDIA,372,82,454
INFY,284,154,438
HINDALCO,365,49,414
SUNPHARMA,349,13,362
TATAMOTORS,198,155,353
TECHM,301,14,315
BHARTIARTL,194,48,242
NESTLEIND,170,59,229
TATASTEEL,182,42,224
GRASIM,110,40,150
POWERGRID,115,26,141
AXISBANK,67,45,112
HEROMOTOCO,58,2,60
BAJAJ-AUTO,50,6,56
KOTAKBANK,41,10,51
EICHERMOT,49,1,50
SBIN,42,7,49
ASIANPAINT,41,1,42
BAJFINANCE,27,2,29
Total,537525,52146,589671
