Regime,Horizon,Term,Coefficient,P_Value,Standard_Error,T_Value,Conf_Int_Lower,Conf_Int_Upper,R_Squared,Adj_R_Squared,F_Statistic,Prob_F_Statistic,Observations
OVERALL,1-Day,bias_demean,-0.0006818926724724532,0.4706805427019999,0.00094527161891736,-0.721372205433862,-0.0025345910011583496,0.0011708056562134434,0.002025557882188389,-0.005206140973737838,0.5203778587725142,0.6021596355683334,140.0
OVERALL,5-Day,bias_demean,-0.00018464881374232953,0.4493988195009564,0.00024410959984633661,-0.7564176659113907,-0.0006630948377216335,0.0002937972102369745,0.00016242872213467763,-0.007082771069733873,0.5721676853028363,0.5877277229209316,140.0
OVERALL,14-Day,bias_demean,-0.000979431926650789,0.11383187744712658,0.0006194224259368542,-1.5812019159129305,-0.0021934775727034525,0.00023461371940187406,0.004562789350309626,-0.0026505237703402518,2.5001994988867224,0.35900556153098123,140.0
OVERALL,30-Day,bias_demean,-0.0013517108009123773,2.552502635486741e-19,0.00015041586803305032,-8.98649071130827,-0.0016465204849604857,-0.001056901116864269,0.009560537283489823,0.0023834397275730446,80.75701530442981,0.0705516121620591,140.0
POSITIVE (>0),1-Day,bias_demean,-0.0035874160435931915,0.584076895942653,0.00655308344900746,-0.5474393957453032,-0.016431223591333335,0.00925639150414695,0.02715087567639518,0.013824175343195022,0.2996898920139828,0.6811329629455354,75.0
POSITIVE (>0),5-Day,bias_demean,-4.85890266859335e-05,0.9891476133501401,0.0035722316271064856,-0.013601869015781236,-0.007050034360249562,0.006952856306877695,4.478316444345154e-06,-0.013694090473741483,0.0001850108407224696,0.991341315200575,75.0
POSITIVE (>0),14-Day,bias_demean,-0.0010224606146482297,0.7850154051873506,0.0037481737286624074,-0.27278901370804665,-0.008368746130625753,0.006323824901329293,0.001934168600510544,-0.011737966076194928,0.07441384599980884,0.8304620972734339,75.0
POSITIVE (>0),30-Day,bias_demean,-0.0028353582828986555,0.01785808204448287,0.0011970873109314621,-2.3685476046792635,-0.0051816062986742226,-0.0004891102671230885,0.020288681029012712,0.006867978029410082,5.610017755631876,0.254327273895172,75.0
NEGATIVE (<0),1-Day,bias_demean,0.00440567058694598,0.3635367851627208,0.004848608213982563,0.9086464388359475,-0.0050974268876049205,0.01390876806149688,0.024478350462292298,0.007944085215890517,0.8256383508092493,0.5304473016632089,61.0
NEGATIVE (<0),5-Day,bias_demean,-0.0007811086152155144,0.8148369164099589,0.0033353525011530186,-0.23419072345291483,-0.00731827939322102,0.005756062162789991,0.0008665423878472245,-0.01606792299540949,0.05484529495139963,0.8535488687036312,61.0
NEGATIVE (<0),14-Day,bias_demean,-0.00289707284644556,0.004560199270107389,0.001021332130749157,-2.836562915454867,-0.004898847038967461,-0.0008952986539236588,0.01001847143890433,-0.006760876502809099,8.046089173333813,0.21577287430194647,61.0
NEGATIVE (<0),30-Day,bias_demean,0.0016703741699152935,0.6603837715423246,0.0038016326270721387,0.43938337387475207,-0.005780688861598489,0.009121437201429076,0.00323066137068595,-0.013663734199302446,0.19305774923756017,0.7364456869725337,61.0
