REGRESSION RESULTS

| Regime | Forecast Horizon | Beta | P-Value | Significance |
| :--- | :--- | :--- | :--- | :--- |
| OVERALL | 1-Day | -0.0007 | 0.4707 | Insignificant |
| OVERALL | 5-Day | -0.0002 | 0.4494 | Insignificant |
| OVERALL | 14-Day | -0.0010 | 0.1138 | Insignificant |
| OVERALL | 30-Day | -0.0014 | 0.0000 | Significant |
| POSITIVE (>0) | 1-Day | -0.0036 | 0.5841 | Insignificant |
| POSITIVE (>0) | 5-Day | -0.0000 | 0.9891 | Insignificant |
| POSITIVE (>0) | 14-Day | -0.0010 | 0.7850 | Insignificant |
| POSITIVE (>0) | 30-Day | -0.0028 | 0.0179 | Significant |
| NEGATIVE (<0) | 1-Day | 0.0044 | 0.3635 | Insignificant |
| NEGATIVE (<0) | 5-Day | -0.0008 | 0.8148 | Insignificant |
| NEGATIVE (<0) | 14-Day | -0.0029 | 0.0046 | Significant |
| NEGATIVE (<0) | 30-Day | 0.0017 | 0.6604 | Insignificant |
